step,seed1,seed2,seed3,seed4,seed5
184000,0.21,0.24,0.22,0.33,0.38
185000,0.23,0.24,0.22,0.25,0.33
186000,0.2,0.22,0.17,0.3,0.38
187000,0.2,0.29,0.2,0.32,0.41
188000,0.32,0.27,0.22,0.34,0.4
189000,0.34,0.29,0.24,0.3,0.46
190000,0.39,0.32,0.3,0.26,0.45
191000,0.41,0.3,0.29,0.25,0.42
192000,0.4,0.28,0.31,0.16,0.42
193000,0.46,0.29,0.25,0.17,0.38
194000,0.4,0.3,0.24,0.17,0.38
195000,0.41,0.3,0.25,0.22,0.3
196000,0.4,0.31,0.23,0.28,0.35
197000,0.38,0.34,0.27,0.28,0.37
198000,0.37,0.37,0.3,0.29,0.43
199000,0.31,0.35,0.32,0.28,0.43
200000,0.34,0.35,0.3,0.28,0.49
201000,0.31,0.39,0.27,0.24,0.48
202000,0.28,0.35,0.25,0.15,0.48
203000,0.29,0.44,0.22,0.14,0.5
204000,0.29,0.44,0.27,0.16,0.47
205000,0.36,0.44,0.27,0.19,0.38
206000,0.35,0.43,0.25,0.2,0.31
207000,0.36,0.39,0.27,0.21,0.26
208000,0.38,0.35,0.25,0.21,0.26
209000,0.41,0.37,0.28,0.22,0.26
210000,0.41,0.29,0.29,0.25,0.29
211000,0.36,0.26,0.23,0.18,0.24
212000,0.31,0.23,0.24,0.19,0.3
213000,0.28,0.32,0.21,0.27,0.37
214000,0.29,0.32,0.25,0.33,0.33
215000,0.31,0.38,0.27,0.33,0.36
216000,0.33,0.35,0.33,0.32,0.38
217000,0.32,0.37,0.38,0.29,0.41
218000,0.32,0.41,0.41,0.29,0.49
219000,0.34,0.39,0.45,0.25,0.53
220000,0.32,0.43,0.43,0.19,0.52
221000,0.3,0.39,0.45,0.23,0.49
222000,0.28,0.33,0.48,0.24,0.54
223000,0.28,0.32,0.43,0.26,0.54
224000,0.36,0.34,0.44,0.22,0.55
225000,0.37,0.35,0.41,0.25,0.56
226000,0.37,0.31,0.39,0.24,0.51
227000,0.34,0.25,0.4,0.2,0.52
228000,0.31,0.24,0.4,0.2,0.51
229000,0.32,0.27,0.32,0.23,0.58
230000,0.33,0.24,0.35,0.27,0.58
231000,0.26,0.26,0.37,0.28,0.55
232000,0.21,0.27,0.37,0.29,0.54
233000,0.23,0.33,0.37,0.29,0.51
234000,0.21,0.33,0.4,0.3,0.51
235000,0.2,0.35,0.41,0.29,0.55
236000,0.17,0.36,0.43,0.26,0.54
237000,0.21,0.41,0.46,0.21,0.47
238000,0.23,0.42,0.52,0.19,0.46
239000,0.25,0.44,0.54,0.2,0.5
240000,0.3,0.44,0.53,0.25,0.53
241000,0.31,0.42,0.56,0.24,0.58
242000,0.3,0.46,0.56,0.25,0.53
243000,0.31,0.52,0.54,0.26,0.49
244000,0.24,0.58,0.52,0.28,0.51
245000,0.31,0.54,0.48,0.31,0.48
246000,0.29,0.54,0.41,0.3,0.53
247000,0.27,0.5,0.27,0.3,0.51
248000,0.29,0.51,0.25,0.33,0.55
249000,0.33,0.54,0.23,0.37,0.47
250000,0.3,0.55,0.21,0.37,0.48
251000,0.33,0.51,0.19,0.41,0.56
252000,0.29,0.46,0.17,0.31,0.57
253000,0.31,0.39,0.16,0.3,0.61
254000,0.29,0.44,0.19,0.31,0.55
255000,0.24,0.47,0.19,0.36,0.57
256000,0.21,0.56,0.18,0.29,0.54
257000,0.2,0.48,0.17,0.25,0.57
258000,0.2,0.39,0.18,0.2,0.57
259000,0.2,0.42,0.19,0.21,0.52
260000,0.15,0.42,0.18,0.16,0.51
261000,0.15,0.34,0.24,0.18,0.48
262000,0.17,0.37,0.22,0.17,0.47
263000,0.18,0.32,0.21,0.21,0.51
264000,0.24,0.39,0.24,0.23,0.53
265000,0.23,0.41,0.27,0.25,0.52
266000,0.24,0.45,0.23,0.26,0.53
267000,0.25,0.44,0.24,0.27,0.53
268000,0.27,0.47,0.23,0.25,0.54
269000,0.29,0.48,0.32,0.27,0.47
270000,0.29,0.5,0.34,0.24,0.45
271000,0.27,0.47,0.31,0.27,0.49
272000,0.27,0.48,0.36,0.23,0.48
273000,0.27,0.37,0.33,0.22,0.48
274000,0.3,0.39,0.33,0.22,0.49
275000,0.29,0.38,0.36,0.26,0.45
276000,0.34,0.37,0.3,0.26,0.52
277000,0.38,0.38,0.29,0.26,0.55
278000,0.4,0.35,0.3,0.22,0.59
279000,0.37,0.34,0.29,0.21,0.65
280000,0.4,0.38,0.34,0.2,0.64
281000,0.44,0.39,0.31,0.17,0.66
282000,0.4,0.41,0.3,0.15,0.64
283000,0.41,0.39,0.26,0.19,0.64
284000,0.39,0.41,0.27,0.2,0.59
285000,0.37,0.4,0.26,0.2,0.65
286000,0.37,0.43,0.24,0.21,0.59
287000,0.38,0.45,0.3,0.21,0.6
288000,0.41,0.48,0.35,0.25,0.58
289000,0.38,0.48,0.33,0.3,0.52
290000,0.39,0.51,0.32,0.27,0.49
291000,0.4,0.5,0.36,0.25,0.47
292000,0.38,0.54,0.4,0.27,0.51
293000,0.36,0.56,0.41,0.3,0.52
294000,0.3,0.49,0.36,0.31,0.55
295000,0.3,0.44,0.32,0.3,0.49
296000,0.32,0.42,0.36,0.29,0.47
297000,0.34,0.44,0.35,0.29,0.56
298000,0.33,0.46,0.32,0.33,0.57
299000,0.32,0.46,0.28,0.32,0.57
300000,0.37,0.4,0.3,0.31,0.57
301000,0.35,0.43,0.3,0.3,0.59
302000,0.35,0.46,0.29,0.34,0.65
303000,0.34,0.47,0.29,0.34,0.73
304000,0.29,0.49,0.25,0.36,0.75
305000,0.26,0.5,0.27,0.35,0.69
306000,0.3,0.45,0.31,0.37,0.7
307000,0.31,0.42,0.37,0.36,0.66
308000,0.35,0.45,0.42,0.37,0.66
309000,0.33,0.45,0.43,0.3,0.67
310000,0.29,0.45,0.41,0.25,0.71
311000,0.32,0.5,0.4,0.2,0.72
312000,0.34,0.53,0.45,0.2,0.63
313000,0.3,0.52,0.45,0.15,0.66
314000,0.29,0.55,0.42,0.17,0.69
315000,0.28,0.53,0.31,0.13,0.69
316000,0.25,0.52,0.26,0.16,0.69
317000,0.28,0.53,0.2,0.21,0.68
318000,0.25,0.57,0.23,0.27,0.68
319000,0.25,0.62,0.22,0.27,0.72
320000,0.22,0.51,0.24,0.31,0.73
321000,0.23,0.48,0.3,0.3,0.68
322000,0.25,0.47,0.31,0.26,0.66
323000,0.27,0.47,0.33,0.28,0.65
324000,0.32,0.56,0.35,0.25,0.59
325000,0.3,0.54,0.41,0.28,0.57
326000,0.35,0.53,0.45,0.27,0.55
327000,0.38,0.49,0.4,0.3,0.6
328000,0.35,0.42,0.44,0.31,0.52
329000,0.39,0.42,0.35,0.32,0.53
330000,0.36,0.41,0.31,0.34,0.53
331000,0.33,0.44,0.37,0.41,0.58
332000,0.32,0.43,0.36,0.44,0.47
333000,0.31,0.46,0.36,0.43,0.46
334000,0.34,0.46,0.36,0.42,0.52
335000,0.32,0.37,0.38,0.4,0.54
336000,0.31,0.37,0.36,0.4,0.51
337000,0.25,0.4,0.39,0.41,0.59
338000,0.26,0.35,0.42,0.37,0.64
339000,0.28,0.4,0.36,0.38,0.65
340000,0.22,0.47,0.41,0.35,0.7
341000,0.24,0.49,0.39,0.39,0.65
342000,0.19,0.52,0.44,0.4,0.72
343000,0.15,0.55,0.46,0.35,0.72
344000,0.14,0.5,0.48,0.37,0.77
345000,0.19,0.5,0.52,0.37,0.74
346000,0.21,0.49,0.53,0.36,0.7
347000,0.22,0.49,0.51,0.36,0.66
348000,0.22,0.58,0.52,0.34,0.67
349000,0.21,0.59,0.45,0.36,0.63
350000,0.19,0.6,0.46,0.4,0.59
351000,0.16,0.57,0.42,0.39,0.64
